PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p1e4bf871-cff4-4d19-9582-463eff58384c,0,Bar chart,80.39138,78.0,1.2578436
p1e4bf871-cff4-4d19-9582-463eff58384c,1,Bar chart,89.67546,90.0,0.0
p1e4bf871-cff4-4d19-9582-463eff58384c,2,Bar chart,51.42547,50.0,0.5114361
p1e4bf871-cff4-4d19-9582-463eff58384c,3,Bar chart,55.97569,55.0,0.0
p1e4bf871-cff4-4d19-9582-463eff58384c,4,Bar chart,99.17498,97.0,1.1210023
p1e4bf871-cff4-4d19-9582-463eff58384c,5,Radial Chart,57.63995,50.0,2.933563
p1e4bf871-cff4-4d19-9582-463eff58384c,6,Radial Chart,43.240974,35.0,3.042815
p1e4bf871-cff4-4d19-9582-463eff58384c,7,Radial Chart,59.440983,40.0,4.281029
p1e4bf871-cff4-4d19-9582-463eff58384c,8,Radial Chart,82.93595,70.0,3.6933143
p1e4bf871-cff4-4d19-9582-463eff58384c,9,Radial Chart,83.497795,70.0,3.754652
p1e4bf871-cff4-4d19-9582-463eff58384c,10,Bar chart,94.93856,95.0,0.0
p1e4bf871-cff4-4d19-9582-463eff58384c,11,Bar chart,67.07531,80.0,3.6920578
p1e4bf871-cff4-4d19-9582-463eff58384c,12,Bar chart,95.0284,97.0,0.9793694
p1e4bf871-cff4-4d19-9582-463eff58384c,13,Bar chart,99.57201,99.0,0.0
p1e4bf871-cff4-4d19-9582-463eff58384c,14,Bar chart,75.14396,80.0,2.2797806
p1e4bf871-cff4-4d19-9582-463eff58384c,15,Bar chart,53.006016,50.0,1.5878525
p1e4bf871-cff4-4d19-9582-463eff58384c,16,Bar chart,32.03472,25.0,2.8144934
p1e4bf871-cff4-4d19-9582-463eff58384c,17,Bar chart,99.321045,98.0,0.40167955
p1e4bf871-cff4-4d19-9582-463eff58384c,18,Bar chart,72.43822,80.0,2.9187264
p1e4bf871-cff4-4d19-9582-463eff58384c,19,Bar chart,83.63894,85.0,0.44473183
